law,data_seed,init,family,region,event,n,rep,estimate,particle_error,total_error,ess,reference_qualified,oracle_qualified
linear_gaussian,303,1701,transformer_mdn4,central,common,128,0,0.2061668074709619,0.0335713476692347,-0.0174703394273609,73.49162926658926,True,True
linear_gaussian,303,1701,transformer_mdn4,central,common,128,1,0.1787128693638818,0.0061174095621546,-0.044924277534441,75.38179875843345,True,True
linear_gaussian,303,1701,transformer_mdn4,central,common,128,2,0.212741184369945,0.0401457245682178,-0.0108959625283778,78.10980342961228,True,True
linear_gaussian,303,1701,transformer_mdn4,central,common,512,0,0.1718769476585786,-0.0007185121431485,-0.0517601992397442,278.392973794283,True,True
linear_gaussian,303,1701,transformer_mdn4,central,common,512,1,0.1725070275988966,-8.84322028305573e-05,-0.0511301192994262,300.11312578469057,True,True
linear_gaussian,303,1701,transformer_mdn4,central,common,512,2,0.1921309877013294,0.0195355278996022,-0.0315061591969934,292.1057997241821,True,True
linear_gaussian,303,1701,transformer_mdn4,central,rare,128,0,0.0375054495124722,-0.0286433682964066,-0.101830278892313,1.0062034061686846,False,False
linear_gaussian,303,1701,transformer_mdn4,central,rare,128,1,0.0179856890425805,-0.0481631287662983,-0.1213500393622047,1.002147741356511,False,False
linear_gaussian,303,1701,transformer_mdn4,central,rare,128,2,0.056057175111213,-0.0100916426976658,-0.0832785532935723,1.2412360688847182,False,False
linear_gaussian,303,1701,transformer_mdn4,central,rare,512,0,0.124478503909294,0.0583296861004151,-0.0148572244954912,3.2770800203144375,False,False
linear_gaussian,303,1701,transformer_mdn4,central,rare,512,1,0.0129863923858207,-0.0531624254230581,-0.1263493360189645,5.789770406842378,False,False
linear_gaussian,303,1701,transformer_mdn4,central,rare,512,2,0.0697279177939095,0.0035790999850306,-0.0696078106108758,2.2724086174575717,False,False
linear_gaussian,303,1701,transformer_mdn4,boundary,common,128,0,0.1332222593698481,-0.1565725910625747,-0.0851618121198014,6.641233899764273,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,common,128,1,0.3810675070357905,0.0912726566033676,0.1626834355461409,5.454041698440695,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,common,128,2,0.2333818927067537,-0.0564129577256691,0.0149978212171041,6.650625743856551,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,common,512,0,0.1673799250383523,-0.1224149253940705,-0.0510041464512972,17.926248773493086,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,common,512,1,0.2860486695897364,-0.0037461808426864,0.0676645981000868,17.216647591649433,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,common,512,2,0.418681953183416,0.1288871027509931,0.2002978816937664,21.540699127348727,True,True
linear_gaussian,303,1701,transformer_mdn4,boundary,rare,128,0,0.067275796988237,-0.0121956227841077,-0.1601096302007293,1.6576511208590383,True,True
