law,data_seed,init,family,region,history_id,energy,mean_squared_error,coverage90,width90,tail_brier,tail_probability,tail_probability_abs_error,sampling_seconds_per_history,mixture_label_entropy,joint_predictive_entropy
bimodal,101,1701,transformer_mdn4,central,0,0.5611988215031802,0.0146144197810515,0.8567708333333334,1.4419940624776642,0.04833984375,0.0390625,0.0109375,0.001438982624677,0.75441647,0.41988909941945984
bimodal,101,1701,transformer_mdn4,central,1,0.5810970130249363,0.0009086302776008,0.8138020833333334,1.3610566527405492,0.0497283935546875,0.01171875,0.03828125,0.001438982624677,0.792348,0.5924251149300189
bimodal,101,1701,transformer_mdn4,central,2,0.6076775528933791,0.0105638811794794,0.8255208333333334,1.3642029265351556,0.0487518310546875,0.02734375,0.02265625,0.001438982624677,0.7721843,0.3883684347275348
bimodal,101,1701,transformer_mdn4,central,3,0.5670116218021439,0.0021012798158871,0.8567708333333334,1.3768731763474218,0.04833984375,0.0390625,0.0109375,0.001438982624677,0.7320361,0.3022561143044086
bimodal,101,1701,transformer_mdn4,central,4,0.5585991340912382,0.0027434521919098,0.828125,1.3578812091037171,0.0489501953125,0.0234375,0.0265625,0.001438982624677,0.7001794,0.12429309588705018
bimodal,101,1701,transformer_mdn4,central,5,0.5735999735160877,0.0303552144406226,0.87890625,1.407810958244733,0.0482025146484375,0.05078125,0.0007812499999999,0.001438982624677,0.7470882,0.41624034148488953
bimodal,101,1701,transformer_mdn4,central,6,0.5545073194067744,0.0069924856500038,0.8268229166666666,1.328641994038497,0.048583984375,0.03125,0.01875,0.001438982624677,0.7298747,0.2177066276672931
bimodal,101,1701,transformer_mdn4,central,7,0.5583933018633596,0.0049614097100584,0.83984375,1.4294917247027967,0.0503997802734375,0.00390625,0.04609375,0.001438982624677,0.77091223,0.3592609236839862
bimodal,101,1701,transformer_mdn4,central,8,0.5982569410258459,0.0059101232560421,0.8216145833333334,1.3640223211098563,0.050048828125,0.0078125,0.0421875,0.001438982624677,0.6947187,0.4374452303055377
bimodal,101,1701,transformer_mdn4,central,9,0.5777357374722518,0.0015498742117607,0.8203125,1.334643488463593,0.0491790771484375,0.01953125,0.03046875,0.001438982624677,0.715677,0.6219915221336932
bimodal,101,1701,transformer_mdn4,central,10,0.5954948097448656,0.0078768335126926,0.796875,1.3470878547708676,0.0503997802734375,0.00390625,0.04609375,0.001438982624677,0.6762541,0.23277897340093567
bimodal,101,1701,transformer_mdn4,central,11,0.5663299841275731,0.0124392478534011,0.8424479166666666,1.4126442858491588,0.04833984375,0.0625,0.0124999999999999,0.001438982624677,0.7506443,0.43914837342534974
bimodal,101,1701,transformer_mdn4,central,12,0.5771812258783878,0.0020399809539008,0.8216145833333334,1.3369858785505482,0.0494384765625,0.015625,0.034375,0.001438982624677,0.71320015,0.3374091456535907
bimodal,101,1701,transformer_mdn4,central,13,0.6197271770142044,0.0190371948572389,0.796875,1.3747230295328627,0.0494384765625,0.015625,0.034375,0.001438982624677,0.79544663,0.6267123292091937
bimodal,101,1701,transformer_mdn4,central,14,0.5527384930684774,0.0007311201960381,0.7903645833333334,1.2907429056281352,0.050048828125,0.0078125,0.0421875,0.001438982624677,0.66251373,0.272208399594173
