law,region,mixture_label_entropy,joint_predictive_entropy,mean_squared_error,coverage90
bimodal,boundary,0.51163423,0.4327475204312618,0.004586079563045932,0.8951732494212963
bimodal,central,0.65643424,0.5115844457590396,0.011950257177864526,0.8512188946759259
bimodal,extrapolated,0.47865415,0.9217677297768144,0.26955759376009497,0.7012080439814815
heavy_tailed,boundary,0.5431432,-0.469454207059931,0.0014468757476936182,0.8943051938657408
heavy_tailed,central,0.6486437,-0.5694018048914187,0.0023579231152608495,0.8727484809027777
heavy_tailed,extrapolated,0.56710464,0.5749239899676463,0.19795452262471236,0.7282533998842592
linear_gaussian,boundary,0.619574,-0.1966988881180992,0.0024965894592883977,0.8930121527777777
linear_gaussian,central,0.68121356,-0.27630636739237213,0.0023191043233105214,0.8747829861111112
linear_gaussian,extrapolated,0.64251286,0.7284185350189297,0.4659585918488136,0.49930374710648145
nonlinear_heteroskedastic,boundary,0.5562966,0.1745453071474564,0.0017524383605170772,0.895308883101852
nonlinear_heteroskedastic,central,0.6236567,-0.23958373005560388,0.0028839848370773133,0.8706235532407408
nonlinear_heteroskedastic,extrapolated,0.5915722,0.915739815289398,0.20955788181817614,0.7236147280092592
