law,data_seed,family,region,event,absolute_error,qualified_fraction,reference_seconds,all_initializations_qualified,qualified_absolute_error,absolute_error_flow,qualified_fraction_flow,reference_seconds_flow,all_initializations_qualified_flow,qualified_absolute_error_flow,paired_qualified,absolute_error_delta_vs_flow
bimodal,101,edm,boundary,common,0.09686698683490134,1.0,0.09445860452251505,True,0.09686698683490134,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698,True,-0.11880824697314564
bimodal,101,edm,boundary,rare,0.022598989191490247,1.0,2.249926062009763,True,0.022598989191490247,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325,True,-0.011433539092742251
bimodal,101,edm,central,common,0.0800911203374865,1.0,0.09472987498156726,True,0.0800911203374865,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818,True,-0.0475959916114953
bimodal,101,edm,central,rare,0.0648598130357395,0.0,2.259185061993776,False,,0.11505550305124995,0.0,2.1692998334765434,False,,False,
bimodal,101,edm,extrapolated,common,0.4174735578086868,0.5,2.278167417010991,False,,0.30951799178164535,0.5,2.1847333329787944,False,,False,
bimodal,101,edm,extrapolated,rare,0.07655214842550864,1.0,0.09553874999983235,True,0.07655214842550864,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709,True,0.012581246853837741
bimodal,101,flow,boundary,common,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698,True,0.0
bimodal,101,flow,boundary,rare,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325,True,0.0
bimodal,101,flow,central,common,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818,True,0.0
bimodal,101,flow,central,rare,0.11505550305124995,0.0,2.1692998334765434,False,,0.11505550305124995,0.0,2.1692998334765434,False,,False,
bimodal,101,flow,extrapolated,common,0.30951799178164535,0.5,2.1847333329787944,False,,0.30951799178164535,0.5,2.1847333329787944,False,,False,
bimodal,101,flow,extrapolated,rare,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709,True,0.0
bimodal,101,gaussian_diag,boundary,common,0.6347811211226502,1.0,0.00789637499838135,True,0.6347811211226502,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698,True,0.4191058873146032
bimodal,101,gaussian_diag,boundary,rare,0.1838636413404981,1.0,0.012549812963698,True,0.1838636413404981,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325,True,0.1498311130562656
bimodal,101,gaussian_diag,central,common,0.9649131689295098,1.0,0.00102799999876875,True,0.9649131689295098,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818,True,0.8372260569805281
bimodal,101,gaussian_diag,central,rare,0.20916005955276265,0.0,0.0125972499954514,False,,0.11505550305124995,0.0,2.1692998334765434,False,,False,
bimodal,101,gaussian_diag,extrapolated,common,0.8453030428238988,0.5,0.01218283348134715,False,,0.30951799178164535,0.5,2.1847333329787944,False,,False,
bimodal,101,gaussian_diag,extrapolated,rare,0.2010053802518271,1.0,0.0032876249752007,True,0.2010053802518271,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709,True,0.1370344786801562
bimodal,101,gaussian_rank2,boundary,common,0.0797520384336925,1.0,0.00446239602752025,True,0.0797520384336925,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698,True,-0.1359231953743545
bimodal,101,gaussian_rank2,boundary,rare,0.34941975699702443,1.0,0.017018916492816,True,0.34941975699702443,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325,True,0.31538722871279196
bimodal,101,gaussian_rank2,central,common,0.2906623657459265,1.0,0.0013714790111407,True,0.2906623657459265,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818,True,0.16297525379694472
bimodal,101,gaussian_rank2,central,rare,0.4720163794986418,0.0,0.0171020415145903,False,,0.11505550305124995,0.0,2.1692998334765434,False,,False,
bimodal,101,gaussian_rank2,extrapolated,common,0.5613907888571317,1.0,0.0028653125045820503,True,0.5613907888571317,0.30951799178164535,0.5,2.1847333329787944,False,,False,
bimodal,101,gaussian_rank2,extrapolated,rare,0.23998356482370395,1.0,0.0027580210007727003,True,0.23998356482370395,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709,True,0.17601266325203305
