law,data_seed,family,region,event,absolute_error,qualified_fraction,reference_seconds,all_initializations_qualified,qualified_absolute_error
bimodal,101,edm,boundary,common,0.09686698683490134,1.0,0.09445860452251505,True,0.09686698683490134
bimodal,101,edm,boundary,rare,0.022598989191490247,1.0,2.249926062009763,True,0.022598989191490247
bimodal,101,edm,central,common,0.0800911203374865,1.0,0.09472987498156726,True,0.0800911203374865
bimodal,101,edm,central,rare,0.0648598130357395,0.0,2.259185061993776,False,
bimodal,101,edm,extrapolated,common,0.4174735578086868,0.5,2.278167417010991,False,
bimodal,101,edm,extrapolated,rare,0.07655214842550864,1.0,0.09553874999983235,True,0.07655214842550864
bimodal,101,flow,boundary,common,0.21567523380804698,1.0,0.4346217709826305,True,0.21567523380804698
bimodal,101,flow,boundary,rare,0.0340325282842325,1.0,2.1772100210364442,True,0.0340325282842325
bimodal,101,flow,central,common,0.1276871119489818,1.0,0.08940866650664239,True,0.1276871119489818
bimodal,101,flow,central,rare,0.11505550305124995,0.0,2.1692998334765434,False,
bimodal,101,flow,extrapolated,common,0.30951799178164535,0.5,2.1847333329787944,False,
bimodal,101,flow,extrapolated,rare,0.0639709015716709,1.0,0.08924987498903644,True,0.0639709015716709
bimodal,101,gaussian_diag,boundary,common,0.6347811211226502,1.0,0.00789637499838135,True,0.6347811211226502
bimodal,101,gaussian_diag,boundary,rare,0.1838636413404981,1.0,0.012549812963698,True,0.1838636413404981
bimodal,101,gaussian_diag,central,common,0.9649131689295098,1.0,0.00102799999876875,True,0.9649131689295098
bimodal,101,gaussian_diag,central,rare,0.20916005955276265,0.0,0.0125972499954514,False,
bimodal,101,gaussian_diag,extrapolated,common,0.8453030428238988,0.5,0.01218283348134715,False,
bimodal,101,gaussian_diag,extrapolated,rare,0.2010053802518271,1.0,0.0032876249752007,True,0.2010053802518271
bimodal,101,gaussian_rank2,boundary,common,0.0797520384336925,1.0,0.00446239602752025,True,0.0797520384336925
bimodal,101,gaussian_rank2,boundary,rare,0.34941975699702443,1.0,0.017018916492816,True,0.34941975699702443
bimodal,101,gaussian_rank2,central,common,0.2906623657459265,1.0,0.0013714790111407,True,0.2906623657459265
bimodal,101,gaussian_rank2,central,rare,0.4720163794986418,0.0,0.0171020415145903,False,
bimodal,101,gaussian_rank2,extrapolated,common,0.5613907888571317,1.0,0.0028653125045820503,True,0.5613907888571317
bimodal,101,gaussian_rank2,extrapolated,rare,0.23998356482370395,1.0,0.0027580210007727003,True,0.23998356482370395
bimodal,101,gp_rbf,boundary,common,0.5998995900450057,1.0,0.0035887089907191,True,0.5998995900450057
bimodal,101,gp_rbf,boundary,rare,0.1987363687258617,1.0,0.0120584159740246,True,0.1987363687258617
bimodal,101,gp_rbf,central,common,0.9608739848146745,1.0,0.0015177919995039,True,0.9608739848146745
bimodal,101,gp_rbf,central,rare,0.2279514962286347,0.0,0.0112748750252649,False,
bimodal,101,gp_rbf,extrapolated,common,0.8662982150790554,1.0,0.0015308749862015,True,0.8662982150790554
bimodal,101,gp_rbf,extrapolated,rare,0.1974399653743113,1.0,0.0107663749950006,True,0.1974399653743113
bimodal,101,mdn4,boundary,common,0.1506497600956464,1.0,0.00712110451422625,True,0.1506497600956464
bimodal,101,mdn4,boundary,rare,0.03597948374844545,1.0,0.10053379199234765,True,0.03597948374844545
bimodal,101,mdn4,central,common,0.05348832213103125,1.0,0.007595458504511,True,0.05348832213103125
bimodal,101,mdn4,central,rare,0.0623134219295958,0.0,0.16459831298561764,False,
bimodal,101,mdn4,extrapolated,common,0.3573288801496052,1.0,0.0212550419964827,True,0.3573288801496052
bimodal,101,mdn4,extrapolated,rare,0.05078668300047955,1.0,0.16338014550274235,True,0.05078668300047955
bimodal,101,ridge,boundary,common,0.0015118670393053,1.0,0.0025272920029237,True,0.0015118670393053
bimodal,101,ridge,boundary,rare,0.417292992033021,1.0,0.0090420829947106,True,0.417292992033021
bimodal,101,ridge,central,common,0.3540736518448801,1.0,0.0007141670212149,True,0.3540736518448801
bimodal,101,ridge,central,rare,0.1476439731777623,0.0,0.00940083299065,False,
bimodal,101,ridge,extrapolated,common,0.5907859042053619,0.0,0.009266958979424,False,
bimodal,101,ridge,extrapolated,rare,0.4387008026282857,1.0,0.0007908329716883,True,0.4387008026282857
bimodal,101,student_rank2,boundary,common,0.05086255918914075,1.0,0.00518972950521855,True,0.05086255918914075
bimodal,101,student_rank2,boundary,rare,0.5736938010251915,1.0,0.02038012500270265,True,0.5736938010251915
bimodal,101,student_rank2,central,common,0.2984929662355379,1.0,0.00160952098667615,True,0.2984929662355379
bimodal,101,student_rank2,central,rare,0.8062654341995554,0.0,0.020126666524447452,False,
bimodal,101,student_rank2,extrapolated,common,0.5945863284024246,1.0,0.0052941250032745,True,0.5945863284024246
bimodal,101,student_rank2,extrapolated,rare,0.24409803118849005,0.5,0.0128450834890827,False,
bimodal,101,transformer_mdn4,boundary,common,0.1364660244993317,1.0,0.07006814598571505,True,0.1364660244993317
bimodal,101,transformer_mdn4,boundary,rare,0.056908646629171646,1.0,0.9471676460234448,True,0.056908646629171646
bimodal,101,transformer_mdn4,central,common,0.29625392690497454,1.0,0.0707821669930126,True,0.29625392690497454
bimodal,101,transformer_mdn4,central,rare,0.07206959646125875,0.0,1.5899592915084213,False,
bimodal,101,transformer_mdn4,extrapolated,common,0.16926548172122785,1.0,0.36658439552411437,True,0.16926548172122785
bimodal,101,transformer_mdn4,extrapolated,rare,0.020905946777155453,1.0,0.36390022948035033,True,0.020905946777155453
bimodal,202,edm,boundary,common,0.11731010188587035,1.0,0.0942012710147537,True,0.11731010188587035
bimodal,202,edm,boundary,rare,0.07948291760828315,0.5,2.246556521015009,False,
bimodal,202,edm,central,common,0.0513190300204907,1.0,0.09455291650374414,True,0.0513190300204907
bimodal,202,edm,central,rare,0.055772877179512,0.0,2.226156082964735,False,
bimodal,202,edm,extrapolated,common,0.5229523905065618,0.5,1.3400030210032128,False,
bimodal,202,edm,extrapolated,rare,0.05244442694125,1.0,0.27799254149431357,True,0.05244442694125
bimodal,202,flow,boundary,common,0.0863838379863749,1.0,0.26224389599519776,True,0.0863838379863749
bimodal,202,flow,boundary,rare,0.0996097545969344,0.5,2.172173291502986,False,
bimodal,202,flow,central,common,0.03935628735714925,1.0,0.0894629584799986,True,0.03935628735714925
bimodal,202,flow,central,rare,0.061488288858297546,0.0,2.1996991250198334,False,
bimodal,202,flow,extrapolated,common,0.343709256497491,0.0,2.1480642080132384,False,
bimodal,202,flow,extrapolated,rare,0.11357909341647575,1.0,0.08953589599695985,True,0.11357909341647575
bimodal,202,gaussian_diag,boundary,common,0.642680172013048,1.0,0.0033039375266525504,True,0.642680172013048
bimodal,202,gaussian_diag,boundary,rare,0.1924458461065447,1.0,0.0121665415063034,True,0.1924458461065447
bimodal,202,gaussian_diag,central,common,0.9626290504534628,1.0,0.0012066249619237502,True,0.9626290504534628
bimodal,202,gaussian_diag,central,rare,0.23244763649605016,0.0,0.0126174164761323,False,
bimodal,202,gaussian_diag,extrapolated,common,0.8513885774358159,1.0,0.01222102102474305,True,0.8513885774358159
bimodal,202,gaussian_diag,extrapolated,rare,0.19052219608832238,1.0,0.00338843750068915,True,0.19052219608832238
bimodal,202,gaussian_rank2,boundary,common,0.072725780061109,1.0,0.004405020998092301,True,0.072725780061109
bimodal,202,gaussian_rank2,boundary,rare,0.3919605995593126,1.0,0.0169106040266342,True,0.3919605995593126
bimodal,202,gaussian_rank2,central,common,0.2572806219241794,1.0,0.00141066699870855,True,0.2572806219241794
bimodal,202,gaussian_rank2,central,rare,0.5803999620233968,0.0,0.01712518747081045,False,
bimodal,202,gaussian_rank2,extrapolated,common,0.7372912818465052,1.0,0.010496854491066101,True,0.7372912818465052
bimodal,202,gaussian_rank2,extrapolated,rare,0.19055394125317043,1.0,0.00112635400728315,True,0.19055394125317043
bimodal,202,gp_rbf,boundary,common,0.6316082808449945,1.0,0.0039560419972985,True,0.6316082808449945
bimodal,202,gp_rbf,boundary,rare,0.1939189219053012,1.0,0.0116883750306442,True,0.1939189219053012
bimodal,202,gp_rbf,central,common,0.9619312749079544,1.0,0.0015813749632798,True,0.9619312749079544
bimodal,202,gp_rbf,central,rare,0.2644167393261401,0.0,0.0120998329948633,False,
bimodal,202,gp_rbf,extrapolated,common,0.8254546012813432,1.0,0.0012524999910965,True,0.8254546012813432
bimodal,202,gp_rbf,extrapolated,rare,0.1790179185029157,0.0,0.0112408330314792,False,
