law,data_seed,family,region,energy,mean_squared_error,coverage90,width90,tail_brier,tail_probability_abs_error,sampling_seconds_per_history
bimodal,101,edm,boundary,0.47543532717552345,0.030904817080048174,0.8958333333333334,1.5068685225986937,0.04917748769124349,0.02244466145833329,0.0018748342081379998
bimodal,101,edm,central,0.5794791228185993,0.014106612887474683,0.9193522135416666,1.6774487101557505,0.05408541361490885,0.06832682291666665,0.0018822178947932998
bimodal,101,edm,extrapolated,0.723968206281405,0.30217547964840813,0.7103949652777778,1.3858246139701846,0.12683931986490884,0.24654947916666667,0.0018742578128391
bimodal,101,flow,boundary,0.44231708967412836,0.0025971703894672273,0.8711751302083334,1.362182134080329,0.05791632334391276,0.08481445312499998,0.00180550085497085
bimodal,101,flow,central,0.5724643126989534,0.004144272825551,0.9080403645833334,1.605602003834606,0.049933433532714844,0.03325195312499995,0.0018058836867567002
bimodal,101,flow,extrapolated,0.6222531704642547,0.2014791362059175,0.8758680555555555,1.5560259336296614,0.3596490224202474,0.5396809895833333,0.001804223958364
bimodal,101,gaussian_diag,boundary,0.46200529231220494,0.008521759071149835,0.8593478732638888,1.3136433032614916,0.06818072001139323,0.135546875,1.3322062538160631e-05
bimodal,101,gaussian_diag,central,0.6105706853692167,0.006948301724602454,0.9042154947916666,1.6328391332672048,0.05125999450683594,0.04368489583333331,1.4562500534035884e-05
bimodal,101,gaussian_diag,extrapolated,0.6494727957405808,0.24789441951579674,0.6351996527777778,1.1179168103911714,0.10306294759114583,0.1805989583333333,1.2624999120210608e-05
bimodal,101,gaussian_rank2,boundary,0.44963309147351205,0.004614541400103911,0.8620062934027778,1.3193977813443478,0.06337801615397136,0.11634114583333334,2.6547729551869754e-05
bimodal,101,gaussian_rank2,central,0.581939028883467,0.005323020809851783,0.9248046875,1.7059703043049363,0.052344322204589844,0.05369466145833331,2.4651062024834875e-05
bimodal,101,gaussian_rank2,extrapolated,0.5957606471719358,0.22082062051483853,0.7110731336805555,1.2140783512300575,0.060587565104166664,0.08307291666666666,2.068227089087789e-05
bimodal,101,gp_rbf,boundary,0.4771665370045582,0.010472939659964967,0.8884548611111112,1.4083780625302416,0.06400299072265625,0.1140625,2.748266706475988e-05
bimodal,101,gp_rbf,central,0.6240857164595411,0.009559945045936095,0.7945963541666666,1.3483789321307722,0.04954338073730469,0.03043619791666663,3.308333301295837e-05
bimodal,101,gp_rbf,extrapolated,2.0383917343728917,2.7054319996079292,0.5970052083333334,3.2149556895167404,0.04877535502115885,0.01975911458333332,2.6446165672192972e-05
bimodal,101,mdn4,boundary,0.43925969241904655,0.0020226619855348896,0.865234375,1.3679283564420937,0.04856650034586588,0.015543619791666631,0.000138637167159
bimodal,101,mdn4,central,0.5714622539192455,0.00590573311442754,0.8914659288194445,1.5279538416012821,0.04886945088704427,0.020865885416666643,0.00015357466691050001
bimodal,101,mdn4,extrapolated,0.7880019984565633,0.4473365017453657,0.6981608072916666,1.503197953562097,0.05263392130533854,0.05309244791666665,0.00014008160481649999
bimodal,101,ridge,boundary,0.46666675681279574,0.010561196903982628,0.9014756944444445,1.5957653541670653,0.08385785420735677,0.18356119791666667,9.074666498539347e-06
bimodal,101,ridge,central,0.5870338657597115,0.004088048929786258,0.9039713541666666,1.5727496410712052,0.0491021474202474,0.023404947916666616,9.215291356667876e-06
bimodal,101,ridge,extrapolated,1.8774784917150324,1.8357655098390326,0.5584852430555556,1.588477611292242,0.9415454864501953,0.9459309895833332,8.874999669690927e-06
bimodal,101,student_rank2,boundary,0.44957945240786784,0.009014406901173637,0.8514811197916666,1.2395487166585482,0.06218560536702474,0.11072591145833333,2.8935749772548054e-05
bimodal,101,student_rank2,central,0.5824656319013154,0.006272153950308495,0.9359266493055555,1.7926071863197726,0.053825060526529946,0.06534830729166664,2.6809020103731502e-05
bimodal,101,student_rank2,extrapolated,0.612174667144951,0.22905233688134977,0.6805826822916666,1.1314898297160376,0.055815696716308594,0.06778971354166666,2.3934020039935906e-05
bimodal,101,transformer_mdn4,boundary,0.43917704228322746,0.0027160708755953277,0.8719075520833334,1.3629727946012447,0.04885323842366537,0.020654296874999974,0.00144854945756375
bimodal,101,transformer_mdn4,central,0.5745544958410533,0.006466978409478602,0.8475748697916666,1.4237904508405552,0.048947652180989586,0.02314453124999998,0.00142591145777255
bimodal,101,transformer_mdn4,extrapolated,0.6838223046472237,0.30707710964553053,0.616916232638889,1.3415600180952838,0.05149968465169271,0.047786458333333316,0.0014887543535829501
