metric_id,estimand,claim_level,direction,optimum,unit,role,method,scenario,view,horizon,count,mean,std,median,min,max,se,ci95_low,ci95_high,ci_method
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,conditional_granger_ridge,causally_sufficient,complete_state,1,5,0.8022222222222222,0.0380058475033046,0.8,0.7666666666666666,0.8555555555555556,0.0169967317119759,0.7550317296561464,0.8494127147882979,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,conditional_granger_ridge,moderate_hidden_common_driver,complete_state,1,5,0.5716445088825818,0.0935204540437692,0.5585278414681678,0.4602554721164216,0.7043736178351563,0.0418236185057026,0.4555235280007638,0.6877654897643997,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,conditional_granger_ridge,strong_hidden_common_driver,complete_state,1,5,0.3614067379379418,0.2051128283058665,0.3475064517130204,0.1112980359337671,0.6069168988673632,0.0917292454298321,0.1067255234607973,0.6160879524150862,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,lagged_sparse_transition,causally_sufficient,complete_state,1,5,0.8022222222222222,0.0380058475033044,0.8,0.7666666666666668,0.8555555555555554,0.0169967317119758,0.7550317296561466,0.8494127147882977,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,lagged_sparse_transition,moderate_hidden_common_driver,complete_state,1,5,0.5123632974970679,0.0987428091111492,0.5061017489827344,0.4222211516988027,0.6660062744273272,0.044159126692363,0.3897579063422471,0.6349686886518886,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,lagged_sparse_transition,strong_hidden_common_driver,complete_state,1,5,0.2529559247880778,0.1274037483863796,0.2609510412921642,0.102981339228521,0.4444160540314387,0.0569766883960448,0.0947632771804993,0.4111485723956563,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,ridge_var,causally_sufficient,complete_state,1,5,0.8022222222222222,0.0380058475033046,0.8,0.7666666666666666,0.8555555555555556,0.0169967317119759,0.7550317296561464,0.8494127147882979,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,ridge_var,moderate_hidden_common_driver,complete_state,1,5,0.5716445088825818,0.0935204540437692,0.5585278414681678,0.4602554721164216,0.7043736178351563,0.0418236185057026,0.4555235280007639,0.6877654897643997,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,ridge_var,strong_hidden_common_driver,complete_state,1,5,0.3617035833255292,0.2050890021698957,0.3486022203426644,0.1112980359337671,0.6069168988673632,0.0917185900578977,0.107051952903636,0.6163552137474224,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,var_lingam_official,causally_sufficient,complete_state,1,5,0.7950538912248333,0.0375277147818222,0.8,0.7489245591910343,0.8411324786324785,0.0167829042584756,0.7484570788453854,0.8416507036042812,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,var_lingam_official,moderate_hidden_common_driver,complete_state,1,5,0.6639992176656857,0.0710051047990068,0.6698261575615965,0.5806422559611606,0.7697896120973045,0.0317544482160151,0.5758347353480736,0.7521636999832978,two-sided Student-t interval over independent DGP seeds
effect.linear_transition_coefficient_vs_mean.auprc_lift_over_prevalence,typed_complete_state_channel,M1,up,,dimensionless,secondary,var_lingam_official,strong_hidden_common_driver,complete_state,1,5,0.4073293646674824,0.0812721112081055,0.4321708333476398,0.2658314011970057,0.4721034514968338,0.0363459930672492,0.3064167101223652,0.5082420192125996,two-sided Student-t interval over independent DGP seeds
