quantity,method,mean,ci95_low,ci95_high,n_seeds
mean_field_nise,gaussian_nll,0.3686856132989535,0.1085468953399427,0.6288243312579642,5
mean_field_nise,ridge_var,0.3947744283111761,0.0136755690845882,0.775873287537764,5
mean_field_nise,student_t_ridge,0.3953828121184696,0.0129520789076741,0.777813545329265,5
mean_field_nise,sid_hyvarinen,0.4728621766520016,-0.0351256685598093,0.9808500218638124,5
mean_field_nise,sid_dsm_s100,0.4752983062043731,-0.0071652164295396,0.9577618288382858,5
mean_field_nise,sid_dsm_s075,0.5349192592816714,-0.0224615237754628,1.0923000423388056,5
mean_field_nise,gaussian_mlp_nll,0.7158127579034259,-0.0511844451008077,1.4828099609076597,5
mean_field_nise,mdn_k3,0.7937881661745635,0.0055518092430237,1.5820245231061032,5
mean_field_nise,gaussian_mlp_dsm_s050,0.8236630550257763,-0.1144114163693666,1.7617375264209194,5
mean_field_nise,gaussian_mlp_dsm_s025,0.9021390373479354,-0.0360822235749254,1.8403602982707965,5
dispersion_field_nise,gaussian_nll,0.5863816096269341,0.2291600251346185,0.9436031941192496,5
dispersion_field_nise,gaussian_mlp_dsm_s025,0.7886714661437795,0.3758788472283127,1.2014640850592462,5
dispersion_field_nise,sid_hyvarinen,0.7914906534297048,-0.0732654529405142,1.6562467597999238,5
dispersion_field_nise,gaussian_mlp_dsm_s050,0.794498041906301,0.3109862120426644,1.2780098717699375,5
dispersion_field_nise,gaussian_mlp_nll,0.8091241666442965,0.2828049260492328,1.3354434072393602,5
dispersion_field_nise,mdn_k3,0.8719780190733692,0.558437274030942,1.1855187641157965,5
dispersion_field_nise,ridge_var,1.0,1.0,1.0,5
dispersion_field_nise,sid_dsm_s075,1.036829358730411,-0.0474858613477464,2.1211445788085683,5
dispersion_field_nise,sid_dsm_s100,1.0476716978381,-0.0772537302829323,2.172597125959133,5
dispersion_field_nise,student_t_ridge,2.090731486312836,-1.112013968740864,5.293476941366537,5
tail_operator_rmse,mdn_k3,0.0094787974546143,0.0080910705211048,0.0108665243881238,5
tail_operator_rmse,student_t_ridge,0.0203775501528186,0.0189000651023996,0.0218550352032377,5
tail_operator_rmse,gaussian_nll,0.0250185387919705,0.0191641580917547,0.0308729194921862,5
tail_operator_rmse,gaussian_mlp_dsm_s025,0.0263440303427853,0.0204998573421004,0.0321882033434703,5
tail_operator_rmse,gaussian_mlp_dsm_s050,0.0263552345604233,0.0201572026979537,0.0325532664228928,5
tail_operator_rmse,gaussian_mlp_nll,0.0268094579118399,0.0216153293445796,0.0320035864791002,5
tail_operator_rmse,ridge_var,0.0287044990580355,0.0229340603670553,0.0344749377490157,5
tail_operator_rmse,sid_dsm_s100,0.0324689661318751,0.0295351365703031,0.0354027956934471,5
tail_operator_rmse,sid_dsm_s075,0.03380057668953,0.0313431173194658,0.0362580360595942,5
tail_operator_rmse,sid_hyvarinen,0.0384895034586444,0.0368754798275788,0.04010352708971,5
gating_field_nise,gaussian_nll,0.9999999999969316,0.999999999989755,1.0000000000041085,5
gating_field_nise,student_t_ridge,1.000000000002825,0.9999999999756118,1.0000000000300384,5
gating_field_nise,ridge_var,1.000000000008892,0.99999999999228,1.000000000025504,5
gating_field_nise,sid_dsm_s100,2.102931373789198,1.2059220733512837,2.999940674227113,5
gating_field_nise,sid_dsm_s075,2.945630701335936,1.4971103206756569,4.394151081996215,5
gating_field_nise,sid_hyvarinen,4.4176826933869995,1.6489784871725206,7.186386899601478,5
gating_field_nise,gaussian_mlp_nll,20.966750311207555,3.43918074121078,38.49431988120433,5
gating_field_nise,gaussian_mlp_dsm_s050,22.69076767295552,1.4911674531133272,43.89036789279771,5
gating_field_nise,gaussian_mlp_dsm_s025,23.158430768997597,1.1257363062879584,45.19112523170723,5
gating_field_nise,mdn_k3,23.395905659152113,1.7446316871665672,45.04717963113766,5
matched_tail_nll,mdn_k3,-0.6136363452141631,-0.6437525373606593,-0.5835201530676669,5
matched_tail_nll,student_t_ridge,-0.5301819932610276,-0.5518124269159707,-0.5085515596060844,5
matched_tail_nll,ridge_var,-0.2937438831825576,-0.3098975803961503,-0.2775901859689649,5
matched_tail_nll,gaussian_nll,-0.2878493159823103,-0.3067817336364565,-0.268916898328164,5
matched_tail_nll,gaussian_mlp_nll,-0.2856907445311751,-0.3046732329960863,-0.266708256066264,5
matched_tail_nll,sid_dsm_s100,-0.2834700316132093,-0.3033059869959794,-0.2636340762304391,5
matched_tail_nll,sid_dsm_s075,-0.283256703110686,-0.3031604506392121,-0.2633529555821599,5
matched_tail_nll,gaussian_mlp_dsm_s050,-0.2829201276552066,-0.3037988864108489,-0.2620413688995642,5
matched_tail_nll,gaussian_mlp_dsm_s025,-0.2799970852066135,-0.3016962801068482,-0.2582978903063789,5
matched_tail_nll,sid_hyvarinen,9.176321114086262,-5.632576474157965,23.98521870233049,5
