generator_id,route,mean,std,count
g1_location,AR-MDN finite ratio,0.8213786564244522,0.027405871479185172,10
g1_location,Gaussian NLL finite ratio,0.6498387289138833,0.08036974101092972,10
g1_location,oracle + Riesz dictionary,1.3595400929262598,0.3666006313986384,10
g1_location,oracle samples + classifier,0.5707791455237248,0.09876763581718934,10
g1_location,ratio critic,0.8461676331532508,0.06757997806688897,10
g2_covariance,AR-MDN finite ratio,2.604281727247014,0.2386878776453577,10
g2_covariance,Gaussian NLL finite ratio,2.1641044320690144,0.3288907968774743,10
g2_covariance,oracle + Riesz dictionary,1.6365813752480514,0.22426631921421672,10
g2_covariance,oracle samples + classifier,1.1426252049797014,0.07540687217489721,10
g2_covariance,ratio critic,1.0572128382817423,0.011761740752148794,10
g3_skew,AR-MDN finite ratio,1.9780905816280838,0.5068999333142614,10
g3_skew,Gaussian NLL finite ratio,1.1600515229430008,0.06625787471814244,10
g3_skew,oracle + Riesz dictionary,1.1611310921398372,0.2166264287313525,10
g3_skew,oracle samples + classifier,1.1447265972093967,0.19377012636242358,10
g3_skew,ratio critic,1.0075072502038815,0.008441223485696177,10
g4_low_rank_mixture,AR-MDN finite ratio,1.4551160443389377,0.21542908000267014,10
g4_low_rank_mixture,Gaussian NLL finite ratio,1.348449778579458,0.2533295283467633,10
g4_low_rank_mixture,oracle + Riesz dictionary,4.5939195945358104,0.9372834532072108,10
g4_low_rank_mixture,oracle samples + classifier,0.7013170741134769,0.12849124786522562,10
g4_low_rank_mixture,ratio critic,0.6564316889504588,0.043369956280589324,10
